"YEAR","SEASON","TEMP","PRECIP"
1984,"Fall",65.0489130434783,3.92
1984,"Spring",73.1813186813187,11.97
1984,"Summer",79.070652173913,15.55
1984,"Winter",57.4120879120879,9.25
1985,"Fall",66.6413043478261,8
1985,"Spring",74.6263736263736,14.83
1985,"Summer",79.25,26.88
1985,"Winter",57.1111111111111,4.39
1986,"Fall",66.9565217391304,11.51
1986,"Spring",73.6703296703297,6.9
1986,"Summer",80.4891304347826,15.4
1986,"Winter",57.9722222222222,14.34
1987,"Fall",62.1358695652174,6.46
1987,"Spring",72.6483516483516,7.39
1987,"Summer",80.820652173913,10.69
1987,"Winter",57.1,19.51
1988,"Fall",63.2010869565217,5.74
1988,"Spring",72.6703296703297,6
1988,"Summer",79.6739130434783,26.11
1988,"Winter",54.7912087912088,17.92
1989,"Fall",59.7771739130435,6.29
1989,"Spring",73.9395604395604,14.5
1989,"Summer",79.8423913043478,15.18
1989,"Winter",62.0666666666667,4.5
1990,"Fall",65.3913043478261,6.28
1990,"Spring",74.1593406593407,14.91
1990,"Summer",79.9891304347826,13.48
1990,"Winter",62.5388888888889,7.33
1991,"Fall",62.6141304347826,2.7
1991,"Spring",76.6208791208791,18.84
1991,"Summer",79.6413043478261,13.67
1991,"Winter",60.2888888888889,15.76
1992,"Fall",62.6358695652174,8.53
1992,"Spring",71.7692307692308,18.63
1992,"Summer",79.6847826086957,14.44
1992,"Winter",57.478021978022,12.68
1993,"Fall",61.445652173913,11.56
1993,"Spring",71.8131868131868,8.39
1993,"Summer",80.9130434782609,11.06
1993,"Winter",58.1388888888889,12.64
1994,"Fall",65.5760869565217,7.08
1994,"Spring",74.9111111111111,9.94
1994,"Summer",78.2282608695652,19.78
1994,"Winter",59.1944444444444,12.09
1995,"Fall",61.9619565217391,8.77
1995,"Spring",74.9450549450549,15.2
1995,"Summer",81.0108695652174,16.96
1995,"Winter",58.1,10.29
1996,"Fall",63.0054347826087,11.3
1996,"Spring",73.9010989010989,10.9
1996,"Summer",79.9619565217391,18.31
1996,"Winter",56.1703296703297,14.14
1997,"Fall",62.1195652173913,19.76
1997,"Spring",72.7692307692308,19.62
1997,"Summer",80.7771739130435,13.38
1997,"Winter",62.6055555555556,5.46
1998,"Fall",67.5489130434783,1.25
1998,"Spring",76.7527472527473,3.83
1998,"Summer",81.5434782608696,22.11
1998,"Winter",58.5611111111111,18.43
1999,"Fall",63.1467391304348,5.18
1999,"Spring",74.5989010989011,10
1999,"Summer",80.6576086956522,15.15
1999,"Winter",59.1388888888889,7.43
2000,"Fall",60.1195652173913,3.03
2000,"Spring",73.9175824175824,7.75
2000,"Summer",79.7119565217391,17.59
2000,"Winter",58.9395604395604,5.98
2001,"Fall",65.2173913043478,1.72
2001,"Spring",73.543956043956,13.17
2001,"Summer",79.2282608695652,19.11
2001,"Winter",58.0444444444444,8.14
2002,"Fall",62.1684782608696,13.11
2002,"Spring",75.4725274725275,10.75
2002,"Summer",80.0054347826087,24.68
2002,"Winter",59.0277777777778,6.79
2003,"Fall",63.4347826086956,5.82
2003,"Spring",74.3571428571429,11.48
2003,"Summer",79.2119565217391,14.95
2003,"Winter",57.6222222222222,14.37
2004,"Fall",63.7826086956522,5.87
2004,"Spring",74.5769230769231,8.63
2004,"Summer",80.6032608695652,34.76
2004,"Winter",57.7692307692308,9.11
2005,"Fall",62.4130434782609,10.99
2005,"Spring",72.4615384615385,17.64
2005,"Summer",81.5652173913043,13.52
2005,"Winter",59.4222222222222,7.83
2006,"Fall",63.4505494505495,6.29
2006,"Spring",74.5769230769231,8.92
2006,"Summer",80.2554347826087,11.39
2006,"Winter",57.9777777777778,8.83
2007,"Fall",65.3152173913043,9.89
2007,"Spring",72.3241758241758,8.36
2007,"Summer",80.8913043478261,18.97
2007,"Winter",58.8483146067416,8.87
2008,"Fall",62.2119565217391,6.09
2008,"Spring",74.2527472527473,6.97
2008,"Summer",79.695652173913,15.36
2008,"Winter",58.3131868131868,11.3
2009,"Fall",64.5380434782609,6.41
2009,"Spring",74.1043956043956,14.59
2009,"Summer",79.8641304347826,16.35
2009,"Winter",57.0055555555556,9.55
2010,"Fall",60.3260869565217,1.25
2010,"Spring",76.0879120879121,15.06
2010,"Summer",82.3695652173913,11.7
2010,"Winter",52.05,11.66
2011,"Fall",64.5380434782609,4.84
2011,"Spring",77.1208791208791,9.58
2011,"Summer",81.9782608695652,8.65
2011,"Winter",59.2833333333333,10.31
2012,"Fall",63.5923913043478,7.87
2012,"Spring",75.521978021978,24.15
2012,"Summer",80.7934782608696,18.95
2012,"Winter",62.8241758241758,5.27
2013,"Fall",65.9619565217391,7.18
2013,"Spring",74.3516483516484,14.3
2013,"Summer",80.875,22.65
2013,"Winter",59.1277777777778,2.95
2014,"Fall",62.2173913043478,7.4
2014,"Spring",74.0164835164835,9.99
2014,"Summer",80.2336956521739,19.28
2014,"Winter",56.4777777777778,15.07
2015,"Fall",68.7999347960528,5.55
2015,"Spring",75.3804191771156,8.94
2015,"Summer",78.9234537608622,25.38
2015,"Winter",57.6955314929837,6.24
2016,"Fall",65.7932217368553,3.62
2016,"Spring",74.6578734671126,14.94
2016,"Summer",80.6149450532998,12.76
2016,"Winter",57.9433219879959,9.2
2017,"Spring",74.3457596751075,23.51
2017,"Summer",78.913735197241,36.65
2017,"Winter",62.0407056265985,3.47
